PEDOMAN PORSI DIET DM ,,,,,,,,
GOLONGAN,I,II,III,IV,V,VI,VII,VIII
Pagi (06.00 - 07.00),,,,,,,,
Karbo,1/2,1,1,1,"1,5","1,5","1,5",2
P hewani,1,1,1,1,1,1,1,1
P nabati,-,-,1/2,1/2,1/2,1/2,1/2,1/2
Sayuran A,S,S,S,S,S,S,S,S
Minyak,1,1,1,1,2,2,2,2
Selingan I (10.00),,,,,,,,
Buah,1,1,1,1,1,1,1,1
Susu,-,-,-,-,-,-,1,1
Siang (12.00-13.00),,,,,,,,
Karbo,1,1,2,2,2,"2,5",3,3
P hewani,1,1,1,1,1,1,1,1
P nabati,1,1,1,1,1,1,1,2
Sayuran A,S,S,S,S,S,S,S,S
Sayuran B,1,1,1,1,1,1,1,1
Buah,1,1,1,1,1,1,1,1
Minyak,1,2,2,2,2,3,3,3
Selingan II (16.00),,,,,,,,
Buah,1,1,1,1,1,1,1,1
Malam (18.00-19.00),,,,,,,,
Karbo,1,1,1,2,2,2,"2,5","2,5"
P hewani,1,1,1,1,1,1,1,2
P nabati,1,1,1,1,1,1,1,1
Sayuran A,S,S,S,S,S,S,S,S
Sayuran B,1,1,1,1,1,1,1,1
Buah,1,1,1,1,1,1,1,1
